score,percentile,standard_grade,curved_grade,bell_curve_grade,ci_low,ci_high,ci_width,sd_from_mean,sd_direction,basis,confidence,n_support
40,0.1,F,F,F,0.0,0.4,0.4,-3.74,below,extrapolated,low,
41,0.1,F,F,F,0.0,0.4,0.4,-3.64,below,extrapolated,low,
42,0.2,F,F,F,0.0,0.5,0.5,-3.54,below,extrapolated,low,
43,0.2,F,F,F,0.0,0.6,0.6,-3.43,below,extrapolated,low,
44,0.3,F,F,F,0.0,0.7,0.7,-3.33,below,extrapolated,low,
45,0.4,F,F,F,0.1,0.8,0.7,-3.23,below,extrapolated,low,
46,0.5,F,F,F,0.1,1.0,0.9,-3.13,below,extrapolated,low,
47,0.6,F,F,F,0.1,1.1,1.0,-3.03,below,extrapolated,low,
48,0.7,F,F,F,0.1,1.3,1.2,-2.93,below,extrapolated,low,
49,0.8,F,F,F,0.2,1.6,1.4,-2.83,below,extrapolated,low,
50,1.0,F,F,F,0.3,1.9,1.6,-2.73,below,extrapolated,low,
51,1.2,F,F,F,0.4,2.2,1.8,-2.63,below,extrapolated,low,
52,1.5,F,F,F,0.5,2.6,2.1,-2.53,below,interpolated,low,
53,1.8,F,F,F,0.7,3.0,2.3,-2.42,below,interpolated,low,
54,2.1,F,F,F,0.9,3.5,2.6,-2.32,below,interpolated,low,
55,2.5,F,F,F,1.2,4.1,2.9,-2.22,below,interpolated,low,
56,3.0,F,F,F,1.5,4.7,3.2,-2.12,below,interpolated,low,
57,3.6,F,F,F,2.0,5.4,3.4,-2.02,below,interpolated,low,
58,4.2,F,F,F,2.5,6.3,3.8,-1.92,below,interpolated,low,
59,5.0,F,D-,F,3.0,7.2,4.2,-1.82,below,interpolated,low,
60,5.8,F,D-,F,3.7,8.2,4.5,-1.72,below,interpolated,medium,
61,6.8,F,D-,F,4.4,9.4,5.0,-1.62,below,interpolated,medium,
62,8.0,F,D-,F,5.3,10.7,5.4,-1.52,below,interpolated,medium,
63,9.3,F,D,F,6.3,12.1,5.8,-1.41,below,interpolated,medium,
64,10.7,F,D,D-,7.5,13.7,6.2,-1.31,below,interpolated,medium,
65,12.3,F,D+,D-,8.8,15.5,6.7,-1.21,below,interpolated,medium,
66,14.2,F,D+,D-,10.3,17.5,7.2,-1.11,below,interpolated,medium,
67,16.2,F,C-,D-,12.0,19.6,7.6,-1.01,below,interpolated,medium,
68,18.3,F,C-,D,13.9,22.1,8.2,-0.91,below,interpolated,medium,
69,20.7,F,C-,D,16.1,24.7,8.6,-0.81,below,interpolated,medium,
70,23.3,F,C-,D,18.6,27.6,9.0,-0.71,below,interpolated,medium,
71,26.1,F,C,D+,21.5,30.7,9.2,-0.61,below,interpolated,medium,
72,29.1,F,C,D+,24.7,34.0,9.3,-0.51,below,interpolated,medium,
73,32.4,F,C+,C-,28.1,37.6,9.5,-0.4,below,interpolated,medium,
74,35.9,F,C+,C-,31.8,41.5,9.7,-0.3,below,interpolated,medium,
75,39.7,F,C+,C-,35.4,45.8,10.4,-0.2,below,interpolated,medium,
76,43.7,F,B-,C,39.2,50.7,11.5,-0.1,below,interpolated,medium,
77,47.9,F,B-,C,42.8,56.1,13.3,0.0,at,interpolated,medium,
78,52.1,F,B,C,46.6,61.5,14.9,0.1,above,interpolated,medium,
79,56.2,F,B,C,50.5,66.8,16.3,0.2,above,interpolated,medium,
80,60.4,D-,B,C+,54.4,71.4,17.0,0.3,above,interpolated,medium,
81,64.5,D,B+,C+,58.4,75.5,17.1,0.4,above,interpolated,medium,
82,68.5,D+,B+,C+,62.5,79.0,16.5,0.51,above,interpolated,medium,
83,72.5,C-,B+,B-,66.5,82.0,15.5,0.61,above,interpolated,medium,
84,76.3,C,A-,B-,70.5,84.7,14.2,0.71,above,interpolated,medium,
85,79.9,C+,A-,B,74.4,87.1,12.7,0.81,above,interpolated,medium,
86,83.3,B,A-,B,78.0,89.2,11.2,0.91,above,interpolated,medium,
87,86.4,B,A,B+,81.5,91.3,9.8,1.01,above,interpolated,medium,
88,89.1,B+,A,B+,84.6,93.2,8.6,1.11,above,interpolated,medium,
89,91.5,A-,A,A-,87.5,95.0,7.5,1.21,above,interpolated,medium,
90,93.5,A,A+,A,89.9,96.7,6.8,1.31,above,interpolated,medium,
91,95.0,A,A+,A,92.1,98.0,5.9,1.41,above,interpolated,medium,
92,96.3,A,A+,A,93.8,98.9,5.1,1.52,above,interpolated,medium,
93,97.4,A+,A+,A+,95.3,99.4,4.1,1.62,above,interpolated,medium,
94,98.3,A+,A+,A+,96.4,99.7,3.3,1.72,above,interpolated,low,
95,99.0,A+,A+,A+,97.4,99.9,2.5,1.82,above,interpolated,low,
96,99.5,A+,A+,A+,98.1,100.0,1.9,1.92,above,interpolated,low,
97,99.8,A+,A+,A+,98.7,100.0,1.3,2.02,above,extrapolated,low,
98,99.9,A+,A+,A+,99.2,100.0,0.8,2.12,above,extrapolated,low,
99,100.0,A+,A+,A+,99.6,100.0,0.4,2.22,above,extrapolated,low,
